epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,938.23,2.44364,3.75309,1.79325,0.25689,0.24559,0.15926,0.05949,2.39558,3.26147,1.83845,0.000473964,0.000473964,0.000473964
2,1524.08,2.38337,3.0321,1.76579,0.30415,0.22399,0.19009,0.07377,2.40967,3.05922,1.84247,0.000903257,0.000903257,0.000903257
3,2616.15,2.34638,2.73594,1.74311,0.28457,0.27814,0.21316,0.08172,2.36593,2.71869,1.79486,0.00128539,0.00128539,0.00128539
4,4675.93,2.31296,2.57362,1.72155,0.33042,0.30109,0.21385,0.08374,2.32788,2.78911,1.8683,0.00121679,0.00121679,0.00121679
5,5337.04,2.25987,2.41927,1.71027,0.287,0.32693,0.27298,0.10304,2.26296,2.50727,1.7068,0.00114606,0.00114606,0.00114606
6,5994.06,2.2269,2.36386,1.67628,0.34555,0.30313,0.26921,0.10675,2.28756,2.54529,1.80203,0.00107532,0.00107532,0.00107532
7,6587.4,2.179,2.25907,1.63695,0.34697,0.3245,0.28137,0.11437,2.20751,2.38484,1.68795,0.00100459,0.00100459,0.00100459
8,7162.59,2.16201,2.22049,1.63128,0.36784,0.32648,0.29413,0.12638,2.19034,2.29269,1.71378,0.000933851,0.000933851,0.000933851
9,7972.05,2.10677,2.12135,1.59825,0.4124,0.3508,0.32989,0.13707,2.14522,2.18937,1.64499,0.000863116,0.000863116,0.000863116
10,8570.18,2.09825,2.09824,1.56958,0.34434,0.35903,0.32775,0.13669,2.16198,2.17937,1.68553,0.00079238,0.00079238,0.00079238
11,9216.72,2.06876,2.12531,1.6279,0.4154,0.34623,0.33784,0.13803,2.19692,2.21707,1.6736,0.000721645,0.000721645,0.000721645
12,9833.85,2.03497,2.03975,1.6063,0.36863,0.35653,0.33217,0.13756,2.16511,2.14416,1.65367,0.000650909,0.000650909,0.000650909
13,10489.5,2.01573,1.99343,1.5996,0.38351,0.37223,0.35157,0.14812,2.14151,2.11072,1.63616,0.000580174,0.000580174,0.000580174
14,11107.6,1.98138,1.93494,1.57743,0.43089,0.3657,0.36074,0.15001,2.16283,2.11339,1.64523,0.000509438,0.000509438,0.000509438
15,11721.7,1.97645,1.88979,1.57413,0.43764,0.3887,0.37573,0.15945,2.12123,2.07322,1.63016,0.000438703,0.000438703,0.000438703
16,12352.1,1.94892,1.84808,1.55631,0.4262,0.38681,0.38256,0.16275,2.13867,2.01186,1.64675,0.000367967,0.000367967,0.000367967
17,12938.1,1.93792,1.81208,1.54691,0.41461,0.42654,0.38515,0.16414,2.12311,1.99871,1.62766,0.000297232,0.000297232,0.000297232
18,13589.5,1.9031,1.77149,1.51824,0.44511,0.39608,0.39435,0.16939,2.11346,2.01214,1.61953,0.000226497,0.000226497,0.000226497
19,14121.2,1.87841,1.75057,1.50547,0.43811,0.42215,0.39701,0.17287,2.09204,1.97413,1.60201,0.000155761,0.000155761,0.000155761
20,14650.5,1.86931,1.73085,1.49556,0.43784,0.41684,0.40409,0.17464,2.09721,1.98481,1.61232,8.50255e-05,8.50255e-05,8.50255e-05
